Date/Time,Word Count,en,pt-BR
2026.07.03-15.06.59,55,55,0
2026.07.03-15.16.35,48,48,0
2026.07.03-15.17.16,47,47,0
2026.07.03-15.18.40,46,46,6
2026.07.03-15.21.50,46,46,46
2026.07.03-16.11.24,63,63,46
2026.07.03-16.12.41,63,63,63
2026.07.03-16.31.18,58,58,53
2026.07.03-16.32.48,58,58,58
2026.07.03-17.14.30,68,68,58
2026.07.03-17.19.29,63,63,58
2026.07.03-17.20.56,62,62,58
2026.07.03-17.21.46,62,62,62
2026.07.03-17.23.20,791,791,62
2026.07.03-18.08.04,790,790,284
2026.07.03-18.37.40,790,790,790
2026.07.06-17.28.15,781,781,772
2026.07.06-17.29.16,777,777,772
2026.07.06-17.32.44,776,776,775
2026.07.06-17.33.29,776,776,776
